,Latitude,Longitude,Altitude,Image Names
127,36.901692,38.9230021,398.118,D:\3_Sinif\Staj\ceylanpinar\IMG_0527_3.tif
128,36.9016921,38.923005499999995,396.018,D:\3_Sinif\Staj\ceylanpinar\IMG_0528_3.tif
129,36.9016892,38.9230057,393.775,D:\3_Sinif\Staj\ceylanpinar\IMG_0529_3.tif
130,36.901691299999996,38.9230029,391.486,D:\3_Sinif\Staj\ceylanpinar\IMG_0530_3.tif
131,36.901693,38.923000099999996,388.956,D:\3_Sinif\Staj\ceylanpinar\IMG_0531_3.tif
132,36.9016926,38.922999999999995,386.628,D:\3_Sinif\Staj\ceylanpinar\IMG_0532_3.tif
133,36.901694299999996,38.9230016,384.751,D:\3_Sinif\Staj\ceylanpinar\IMG_0533_3.tif
134,36.901696,38.9230032,382.985,D:\3_Sinif\Staj\ceylanpinar\IMG_0534_3.tif
135,36.9016912,38.9230051,381.594,D:\3_Sinif\Staj\ceylanpinar\IMG_0535_3.tif
136,36.901693,38.923004399999996,380.821,D:\3_Sinif\Staj\ceylanpinar\IMG_0536_3.tif
137,36.9016941,38.9230027,379.874,D:\3_Sinif\Staj\ceylanpinar\IMG_0537_3.tif
138,36.901694,38.9230017,378.942,D:\3_Sinif\Staj\ceylanpinar\IMG_0538_3.tif
139,36.9016854,38.922998299999996,378.6,D:\3_Sinif\Staj\ceylanpinar\IMG_0539_3.tif
140,36.901677299999996,38.922984799999995,378.523,D:\3_Sinif\Staj\ceylanpinar\IMG_0540_3.tif
141,36.9016763,38.9229801,378.255,D:\3_Sinif\Staj\ceylanpinar\IMG_0541_3.tif
142,36.9016744,38.9229753,377.479,D:\3_Sinif\Staj\ceylanpinar\IMG_0542_3.tif
143,36.9016758,38.9229762,376.969,D:\3_Sinif\Staj\ceylanpinar\IMG_0543_3.tif
144,36.901674199999995,38.922974499999995,376.679,D:\3_Sinif\Staj\ceylanpinar\IMG_0544_3.tif
